,tweets,id,len,date,source,likes,retweets,sentiment
56,@TripleJohnny Prayers.  #CancerSucks,1157053346924175361,36,2019-08-01 22:19:49,Twitter for iPad,0,0,0
57,"@VPDCanine ah this is heart ripping.. truly. every dog gives so much , #PSD #K9 s serve their community and protect our officers often risking lives and health to do so.. then to battle cancer.. sums it up #cancersucks !! hugs to all in your circle PSD Koal!. 🌈💔❤️💙💔",1157052041388314624,266,2019-08-01 22:14:38,Twitter Web App,0,1,1
58,[NA/ENG]Thristy Thursday !gofundme #cancersucks https://t.co/GGyf8367ys,1157048894225711104,71,2019-08-01 22:02:07,Twitter Web Client,4,2,0
59,Nothing like a little Alabama football sports radio to pass the time during chemo! @TheGAMEon1009 @Tide1009fm @RyanCFowler  Roll Tide y’all! #thankful #cancersucks,1157044915957829633,163,2019-08-01 21:46:19,Twitter for iPhone,77,1,-1
60,"One of our volunteers, is celebrating 5 years CANCER FREE! Congrats Kyle! You are truly an inspiration to us all 💚
⠀⠀
.
.
.
⠀⠀
#campquality #camp #cancer #nonprofit #pediatriccancer #childhoodcancer #cancersucks… https://t.co/CrUgegpMgk",1157042028926197769,236,2019-08-01 21:34:51,Instagram,3,1,1
61,"Mondays in October, dedicated to the #Siteman Cancer Center Nurses, &amp; my Red Dog...just diagnosed with #hemangiomasarcoma in his heart...https://t.co/PLlauRaRuU

#cancersucks #lymphomajourney #bookrelease #bookstores #poetry #photography #nature #art #time #sunsets #sea https://t.co/xfYHBJ2VwF",1157039484858331137,298,2019-08-01 21:24:44,Twitter Web App,2,2,-1
62,Missing my Dad today but thanking God for blessing me with being a lung cancer survivor of 18+ years! Love my support group always — @amanduhpearson @Sus_guss @lcoop18 @lalibelula513 💜 #WorldLungCancerDay #CancerSucks #LiveLoveLife https://t.co/fBak4XCvBR,1157038286407426049,255,2019-08-01 21:19:58,Twitter for iPhone,5,3,1
63,All I have to say for today is: #CancerSucks,1157038034577240065,44,2019-08-01 21:18:58,Twitter Web App,17,1,0
64,Had the day off with no hospital appointments. Took a ride out to Fort Moultrie on a beautiful day. #cancersucks https://t.co/MezVzRIVVQ,1157035244689797122,136,2019-08-01 21:07:53,Twitter for iPhone,1,0,1
65,"Thank you all for the retweets and positive vibes, let's keep it rolling! Original post is pinned on my feed with GoFundMe link #Topherthancancer #cancersucks @dallascowboys @dak @EmmittSmith22 @CJonesAnderson @JasonWitten https://t.co/pSc50Rk0po",1157025682490347520,246,2019-08-01 20:29:53,Twitter for Android,4,1,1
66,"If you all could, please say a prayer for this young man and his family. High school kids should be having the time of their lives, not going through cancer treatment. PLEASE pass this along to as many people as you can! Prayer works! #fightinwithtytan #cancersucks https://t.co/7U172lBGQP",1157025076979613697,289,2019-08-01 20:27:29,Twitter for iPhone,18,5,1
67,"Thank you from bottom of my heart to my friends and family who donated 🥰

I just received my last donation to reach my goal 🤗 Seriously beyond grateful!

Bring on the race 🏃🏻‍♀️ 

#CancerSucks
#OnAMission
#BestFriendsAndFamily https://t.co/ECfGlugITv",1157024216828526592,250,2019-08-01 20:24:04,Twitter for iPhone,1,0,-1
68,"Miggy’s Gift meets with
Dean of Students
Jaime Anzalotta, Ph. D.
Discussing possible skin cancer awareness campaign at Miami Dade College
#remembermiggy
#cancersucks
#notourkids https://t.co/pbnCOXbWHi",1157021602099486720,201,2019-08-01 20:13:41,Twitter Web App,5,3,0
69,"4 years ago today, this knucklehead passed-knucklehead like a giant dude is “Tiny.” His first nickname was “Mo,” as he could never say “more” when little. Then, in our high school basketball playing days, I gave him “the villain.” But really a hero. #gonetoosoon #cancersucks https://t.co/qM3a2uznif",1157020639460560897,299,2019-08-01 20:09:51,Twitter for iPhone,3,0,1
70,@GirlBowtie I am with @fun2kidsmom. I liked the post but don’t like it at the same time. I am so sorry that you have to feel this way today. It sucks. #cancersucks hard to really plan anything. I am always worried plans will fall through because I get a fever or worse. Just sucks.,1157019363221954561,281,2019-08-01 20:04:47,Twitter for iPhone,3,0,-1
71,"3rd vaccine done. 

#nowords #fuckcancer 

#cancersucks #Neuroblastoma #childhoodcancer 
#motherhoodunplugged #mskcc #candidchildhood https://t.co/X7O7YqxKCW",1157017331970609152,157,2019-08-01 19:56:42,Instagram,5,0,0
72,"@thamasd Oh Tammy, I'm so sorry about your friend. I'm glad that you can find solace in his release from pain. Take all the time you need to grieve.

Cancer is the absolute worst. I wouldn't wish it upon my worst enemy. #CancerSucks",1157012583683108864,232,2019-08-01 19:37:50,Twitter Web App,1,0,-1
73,"Join us Sunday at our Lost Palate fundraiser for @LurieCancer with @gooseisland from 11am! Beer, Baseball &amp; BBQ &gt; BOOM! 
#SheffieldsChi #CancerSucks #CraftBeer #SundayFunday #Fundraiser #Luries #FuckCancer #Lakeview #LostPalate
https://t.co/EK9Prk8vf1",1157010362451091457,258,2019-08-01 19:29:01,Twitter for iPhone,2,0,0
74,2. She looked at me an said is he the one who gave his #MakeAWish away?I proudly said he shared his wish.She was 😭.There were customers waiting but she needed a hug so I gave her a hug and said don't worry my Javier is strong he is fighting his cancer. #CANCERSUCKS #JAVIERSTRONG https://t.co/ICcJ9qqOZP,1157008880368410624,303,2019-08-01 19:23:07,Twitter for Android,1,0,1
75,".@EBJunkies @moneymetalcakes Hey gents! I have not tuned in for quite some time, sorry about that! However, just found out about Jason's mom and the her battle with cancer. For sure will keep him and his family in my prayers. #CancerSucks",1157003523965562886,238,2019-08-01 19:01:50,Twitter Web App,0,0,0
76,Check out Breast Cancer Awareness Handmade Crochet Lap Blanket #Handmade #LapBlanket https://t.co/IOik2bVxlm via @eBay #shopping #handmadegifts #crochetshop #smallbiz #winteraccessories #blankets #breastcancerawarenessblanket #crochetblankets #pinkribbon #cancersucks,1157001995259174913,267,2019-08-01 18:55:46,Twitter Web Client,0,0,0
77,"S/O to all the riders participating @Pelotonia this weekend! Especially our very own Dick Day!

Your commitment to fighting #cancer inspires all of us. Thank you for what you do. #CancerSucks #Pelotonia https://t.co/yYEh6AZyEo",1156998471561486336,226,2019-08-01 18:41:46,Twitter for iPhone,3,0,1
78,@wired4story I always think of the tumor in my colon that’s the origin of my stage 4 cancer as an evil “mastermind”. This research confirms I may be on to something! Here’s hoping this breakthrough helps fight this devestating disease for millions! #cancersucks #CancerResearch,1156997625121529858,277,2019-08-01 18:38:24,Twitter for iPhone,1,0,-1
79,"Please support my GoFundMe campaign: https://t.co/yyWv5kqE3C

#gofundme #cancersucks #memorial #restinpeace #family #love",1156995578905145345,121,2019-08-01 18:30:16,Twitter for iPhone,0,0,1
80,"#TeamNora
Now more than ever.
#FuckCancer #CancerSucks",1156993575315488768,54,2019-08-01 18:22:18,Facebook,2,0,1
81,My father-in-law has #PancreaticCancer but it gave me a good reason to dye my hair purple sense he has no hair left. #Cancer #cancersucks #purplehairdontcare #livelife #liveyourbestlife #youonlyliveonce #cancersupport #Ilovepurple https://t.co/GNIrXps6ob,1156990330450972673,254,2019-08-01 18:09:25,Twitter for Android,0,0,1
82,"the sun shines on my garden, my love sleeps soundly after a day’s stress, am about to take a bath for #neuropathy pain,  &amp; call my onc to see about removing my abdominal fluid. Looks like a weekend at the ER ahead. #fuckcancer #CancerSucks #metastaticBC #breastcancer",1156987246613893120,271,2019-08-01 17:57:10,Twitter for iPhone,3,0,1
83,"@askjillian Sending good vibes, well wishes, and prayers your way! One cancer asskicker to another! #cancersucks #kickcancersass #attitudeiseverything",1156986148478246913,150,2019-08-01 17:52:48,Twitter for Android,0,0,1
84,"Had a bone marrow biopsy done today, due to feeling bone spasms. Let’s hope it’s not coming back #cancersucks #leukemia #donateblood #RedCross",1156986066156605441,142,2019-08-01 17:52:28,Twitter for iPhone,2,0,-1
85,@bjcolangelo Congratulations!! Keep up the fight! #fuckcancer #cancersucks 😎🤓❤👍,1156985815546941447,79,2019-08-01 17:51:28,Twitter for Android,0,0,0
86,"So thankful for these 2 and their friendship with each other...  another chemo almost finished. 
#love #family #cancersucks https://t.co/VIL09sj8tb",1156985558805168128,147,2019-08-01 17:50:27,Instagram,0,0,1
87,Awesome speaker! #cancersucks #cancer #supporters #Granbury https://t.co/8lq7J3cALu,1156984503300165633,83,2019-08-01 17:46:15,Facebook,0,0,1
88,@GreggDoyelStar You have a gift and it’s so apparent in every story that you write. You somehow were able to put the beauty and power of @theTylerTrent #TylerStrong into words that captured the nation. Thank you. I am proud to be one of your readers. #BoilerUp #HammerDown #CancerSucks,1156983926738575361,285,2019-08-01 17:43:58,Twitter for iPhone,0,0,1
89,I’m at my parents for Elle’s guitar lessons and this was taped to the bathroom mirror 😭 Love my mom sooo much! #cancersucks #ovariancancer https://t.co/KuAeRKR6mm,1156983301799702528,162,2019-08-01 17:41:29,Twitter for iPhone,11,0,1
90,"#CancerSucks. #COPD sucks. You'd think no one wants #cancer/COPD, right? You'd also think people would acknowledge the #FACT that #cigarettes cause CANCER! You buy/sell/smoke cigarettes, you're supporting &amp; promoting the spread of cancer(among other numerous DEADLY illnesses)",1156982944243814400,280,2019-08-01 17:40:04,Do It Later,0,1,1
91,"#tbt @meaganherrera You are the strongest woman I know. The journey is tough, but YOU GOT THIS! I love you! nbcthevoice @thevoicehair 
.
.
#stage4coloncancer #cancersucks #lovebeatsall #lovealways… https://t.co/c5toSsVC7S",1156982438087856129,221,2019-08-01 17:38:03,Instagram,1,0,1
92,Sending out pink well wishes and support for our friend and colleague Rebecca Cressman-FM100.3  KSL 5 TV #cancersucks https://t.co/qH26web7Gk,1156979903096430592,141,2019-08-01 17:27:59,Twitter for iPhone,67,5,-1
93,Ok Folks in my circle. We are busy. But #environmentaljustice = #health equity. Be it Georgia or Illinois. NO one deserves to be thrown under the cancer bus because a company wants to profit off residents 'being too busy' to collectively fight. #StopSterigenics #cancersucks https://t.co/ZxgMbn8qEi,1156977165583507456,298,2019-08-01 17:17:06,Twitter for Android,5,0,1
94,"Do you think two different physicians can have two different outcomes for a patient?

#DrForsythe #cancer #health #cancersucks #love #breastcancer #edgy #chemotherapy #cancerdemama",1156973135478087683,180,2019-08-01 17:01:05,Hootsuite Inc.,4,2,1
95,@TheGoldenRatio4 Paws crossed for best possible situation. #cancersucks,1156970930142351360,71,2019-08-01 16:52:19,Twitter for iPad,0,0,1
96,Recovery from cancer is hard; it can take years.  #CancerSucks but #TravelHeals Could you use a healing retreat? https://t.co/g9neYwukdp https://t.co/xJLXkBfegs,1156969190919692289,160,2019-08-01 16:45:25,The Social Jukebox,1,0,-1
97,"#BRENNA has been battling #leukemia &amp; her medical bills are now OVER ONE MILLION DOLLARS. Her mom could lose their house in #SiouxCity! Please help with a donation, if you can at https://t.co/REtqPS98bf - TY. 🧡🎗️🧡  PLEASE **RETWEET** HER STORY. #desperate #CancerSucks #Phoenix https://t.co/PscS0vNe59",1156967486018981888,305,2019-08-01 16:38:38,Twitter Web App,4,3,-1
98,"Even when your heart is pleading to go back in time - traditions must continue forward. 
Love you, Dad.
#badgers #familyfunday #OnWisconsin #cancersucks https://t.co/kMXzd0NUg6",1156967216731971587,176,2019-08-01 16:37:34,Twitter for iPhone,0,0,1
99,"@snowangelmrsp @BSUH_NHS Aw bless you Michelle. I hope  so much that things will start to get easier for you very soon. 
#cancersucks",1156964325338357761,133,2019-08-01 16:26:05,Twitter for Android,1,0,1
100,Can't wait to get this for my sil who will earn her wings soon #cancersucks https://t.co/zvNRA8Tvt3,1156964231960547329,99,2019-08-01 16:25:42,Twitter for Android,0,0,0
101,"That moment when your best friend who's battling cancer, after a very major surgery, calls to tell you he just had a bowel mvt.
#Victory
#friendships #cancersucks",1156960353512820738,162,2019-08-01 16:10:18,Twitter for Android,3,0,1
102,"Fact of the day! This is port it is used to infuse IV treatment. Nurses and patients find it easier to have port, than having to search for a vein and maybe getting stuck multiple times. #oncology #cancer #cancersucks #spokanevalley #spokane #idaho #washingtonstate #cdaidaho https://t.co/hMd0xcbVcg",1156958135795380226,299,2019-08-01 16:01:29,Twitter for iPhone,0,0,0
103,"Let's play a game—how many art projects is your kiddo coming home with this week?! 🎨

#camprainbowgold #youthcamp #art #artshack #arttherapy #crg #keepshining #camp #oncology #cancer #cancersucks #cancersurvivor #supportgroup #nonprofit #fundraise #volunteer #donate #forthekids https://t.co/rC9omXWPJs",1156957937849503746,302,2019-08-01 16:00:42,SocialPilot.co,1,0,1
104,I know 22 yrs is a long time but I want 22 more. Not just 22 more days.... #Fight4JohnC #CancerSucks #FuckCancer,1156957408209457152,112,2019-08-01 15:58:36,Twitter for Android,0,0,1
105,"Not my best but still, Riley in Indy needs ur support. You can also Venmo ur donation @ Joey-Krampen 

There’s a lot of negativity and hate in the world, so choose to add some light and goodness to it by donating a few bucks and helping researchers fight cancer🤛🏻 #cancersucks",1156956772227342337,276,2019-08-01 15:56:04,Twitter for iPhone,3,0,1
106,@RepRonWright prayers for strength with your health battles. I admire your attitude. 🙏🏻 #CancerSucks,1156956274057261056,100,2019-08-01 15:54:05,Twitter for iPhone,0,0,0
107,"My brother is recovering from his last cancer treatment. Please help him to END his cancer... NO CANCER!!!  https://t.co/eXC5Z6VjnF  
@gofundme #gofundme #beatcancer #cancersucks #cancerfree #cancersurvivor #healthy #hope #healing #RicoStrong",1156948988307955717,242,2019-08-01 15:25:08,Hootsuite Inc.,0,0,1
108,"@miriamjablon Bravo!! I will join, my ct scan results came yesterday, all good. In yr 2 of my 2nd tour ( relapsed at 3rd yr anniversary) #survivor #cancersucks",1156948866178174976,159,2019-08-01 15:24:39,Twitter for Android,1,0,1
109,Please donate for brother and sister in law as she begins her battle .. link in bio #adenoidcysticcarcinoma #cancersucks https://t.co/yrL0eZGV4F,1156948268531748864,144,2019-08-01 15:22:16,Instagram,0,0,0
110,😢🙏🏻🙏🏻Sure miss them all so much. #cancersucks https://t.co/qYaZ5NoUjX,1156946240589979648,69,2019-08-01 15:14:13,Twitter for iPhone,0,0,1
111,Lucky to have a special cousin to get me through all of life’s challenges. #cousins #family #cancersucks #prayingforahealthybaby https://t.co/n5qVyeS8vj,1156944494060851200,152,2019-08-01 15:07:17,Twitter for iPhone,1,0,1
112,Not even saddle sores will stop me!  #CANCERSUCKS #EMPIRESTATERIDE #ESR19 #NYC2NF https://t.co/fNvRdcO0U3,1156944130070724608,105,2019-08-01 15:05:50,Instagram,0,0,0
113,"I mean I guess my MIL has known all along but, at least she's cool with it. It was literally the only way I could get him to get or get meds down yesterday. #cannabisAsMedicine #CancerSucks #FuckCancer #cannabis for me all day too helps calm and align me.",1156944047514144773,255,2019-08-01 15:05:30,Twitter for Android,0,0,-1
